window_id,video_id,film_flag,clap_sing,singing_prob,var_db,stratum,human_label,annotator_note,forced_flag_sing
k9vrs-N106Q_003,k9vrs-N106Q,1,-0.18551989,0.0011476846411824,14.1457,clap_high_only,unset,,0
kpDQ-6ifdHQ_002,kpDQ-6ifdHQ,1,-0.0018573673,0.0112949842587113,15.1923,both_high,unset,,0
kwcy-9CHGdk_002,kwcy-9CHGdk,0,0.60545772,0.0764871388673782,1.9252,both_high,unset,,0
mlNSL9Bt5dw_000,mlNSL9Bt5dw,1,-0.17774402,0.006225214805454,17.6329,clap_high_only,unset,,0
mlNSL9Bt5dw_001,mlNSL9Bt5dw,1,-2.119935,0.001043350668624,43.7322,mid,unset,,1
n584e3exz7Y_005,n584e3exz7Y,0,0.15979941,0.0010971396695822,43.902,clap_high_only,unset,,0
nfRHPZcp-0Y_003,nfRHPZcp-0Y,1,-3.9627593,0.0009639312047511,6.2634,both_low,unset,,0
o0tTotoFe5M_022,o0tTotoFe5M,0,2.06445,0.005775258410722,9.3904,clap_high_only,unset,,0
pVn529r5yWc_001,pVn529r5yWc,0,-0.91008514,0.0039406069554388,16.0669,mid,unset,,1
q6CTRjrHToY_002,q6CTRjrHToY,1,-3.5347247,0.0008101634448394,43.5183,both_low,unset,,0
qbSDBzawSIw_006,qbSDBzawSIw,0,-2.0290442,0.0051693934947252,6.8755,mid,unset,,0
qyI11NALuMs_000,qyI11NALuMs,0,0.4922629,0.0023270761594176,9.188,clap_high_only,unset,,0
r68V8aBfZD8_001,r68V8aBfZD8,1,-2.0916572,0.0197075866162776,10.692,panns_high_only,unset,,0
r68V8aBfZD8_002,r68V8aBfZD8,1,1.8519696,0.05379568785429,-4.6647,both_high,unset,,0
r68V8aBfZD8_007,r68V8aBfZD8,1,0.49117598,0.0034769233316183,14.2457,clap_high_only,unset,,0
r68V8aBfZD8_008,r68V8aBfZD8,1,-0.86579633,0.0051924190483987,9.1614,mid,unset,,0
t6scQL95LAM_001,t6scQL95LAM,1,-1.2360895,0.0068471780978143,7.585,mid,unset,,0
t6scQL95LAM_006,t6scQL95LAM,1,0.98986346,0.0976577997207641,10.9184,both_high,unset,,0
t6scQL95LAM_008,t6scQL95LAM,1,-4.3958201,0.0010288413614034,6.3273,both_low,unset,,0
tMvCw-t6-Uc_001,tMvCw-t6-Uc,1,-2.1268005,0.0301934052258729,6.3297,panns_high_only,unset,,1
